timestamp,x,y,yaw
1779877140.069541454,0.793195,2.791809,2.177640
1779877140.249556065,0.482036,2.716855,2.133184
1779877140.309469938,0.316594,2.686036,2.110020
1779877140.369430780,0.316594,2.686036,2.110020
1779877140.729420185,-0.356549,2.619358,2.016361
1779877140.809350252,-0.536160,2.613676,1.991769
1779877141.469211578,-1.625346,2.704534,1.841487
1779877141.609265089,-1.992432,2.775827,1.790495
1779877142.029152870,-2.718546,2.967914,1.687295
1779877142.729091644,-3.981701,3.525120,1.501224
1779877142.789018869,-4.155758,3.626906,1.474383
1779877143.368958235,-4.976825,4.184553,1.339840
1779877143.448869705,-5.132840,4.306791,1.312959
1779877143.708797693,-5.586613,4.696473,1.231976
1779877143.968741417,-5.871822,4.973104,1.177906
1779877143.988714457,-6.007194,5.115796,1.151122
1779877144.048672438,-6.007194,5.115796,1.151122
1779877144.428653240,-6.513841,5.713479,1.046232
1779877144.928501368,-7.038798,6.512543,0.918976
1779877145.048553705,-7.126019,6.678360,0.894249
1779877145.288503170,-7.362631,7.226567,0.815601
1779877145.828380108,-7.682507,8.229166,0.680008
1779877145.848346949,-7.682507,8.229166,0.680008
1779877146.268256664,-7.844912,8.969822,0.584291
1779877146.468168736,-7.907927,9.346074,0.533452
1779877146.668130398,-7.931177,9.753535,0.479355
1779877146.708273172,-7.931499,9.949498,0.453576
1779877147.008197546,-7.910081,10.546903,0.374804
1779877147.028161764,-7.910081,10.546903,0.374804
1779877147.188183308,-7.875268,10.923980,0.325434
1779877147.248115540,-7.875268,10.923980,0.325434
1779877147.827980042,-7.787870,11.691976,0.221945
1779877147.887917995,-7.771409,11.850162,0.200234
1779877147.907889128,-7.771409,11.850162,0.200234
1779877148.697814941,-7.390216,13.193486,0.011134
1779877148.877824068,-7.230362,13.528367,-0.040687
1779877148.897799969,-7.230362,13.528367,-0.040687
1779877149.337691307,-6.769797,14.238166,-0.152568
1779877150.057590008,-5.908069,15.383120,-0.337903
1779877151.497232914,-3.950578,16.854412,-0.672593
1779877151.697257996,-3.463870,17.080591,-0.744470
1779877152.616935015,-1.387312,17.542200,-0.998970
1779877152.637079477,-1.387312,17.542200,-0.998970
1779877152.996912956,-0.730756,17.614111,-1.076442
1779877153.136882544,-0.620046,17.623769,-1.090494
1779877153.576776505,-0.403137,17.637866,-1.120746
1779877153.636889219,-0.403137,17.637866,-1.120746
1779877153.656868458,-0.403137,17.637866,-1.120746
1779877154.576686859,-0.243398,17.631250,-1.142629
1779877154.616674900,-0.243398,17.631250,-1.142629
1779877154.676614761,-0.227367,17.629923,-1.144909
1779877154.716581106,-0.227367,17.629923,-1.144909
1779877155.056622744,-0.182394,17.625565,-1.151318
1779877155.196466446,-0.157553,17.622388,-1.155005
1779877155.436414003,-0.132198,17.619717,-1.158025
1779877155.996294975,0.090800,17.592889,-1.185855
1779877156.196301937,0.170599,17.577249,-1.196027
1779877156.496319294,0.259172,17.568660,-1.207345
1779877156.716129541,0.310310,17.579182,-1.211648
1779877156.916145563,-5.082771,31.950559,-1.213824
1779877156.996261835,0.289271,17.564490,-1.214406
1779877157.076159477,0.296513,17.566885,-1.214649
1779877157.536101103,0.334172,17.562312,-1.216890
1779877157.556077003,0.334172,17.562312,-1.216890
1779877158.015985966,0.304508,17.533350,-1.214403
1779877158.615800381,0.275285,17.529791,-1.211885
1779877158.815739870,0.283937,17.547964,-1.211920
1779877159.075812578,0.297757,17.567780,-1.212128
