timestamp,x,y,yaw
1779877200.888379812,-0.030710,4.428311,1.154577
1779877200.908375263,-0.030708,4.428316,1.150650
1779877200.928347349,-0.030705,4.428323,1.146874
1779877200.948490620,-0.030702,4.428332,1.143241
1779877200.968466282,-0.034399,4.427819,1.162723
1779877200.988470316,-0.034393,4.427832,1.159404
1779877201.008432150,-0.034388,4.427846,1.156292
1779877201.028411150,-0.034381,4.427863,1.153329
1779877201.048401833,-0.034373,4.427881,1.150477
1779877201.068374157,-0.034365,4.427901,1.147793
1779877201.088348866,-0.044007,4.429567,1.166937
1779877201.108340502,-0.043998,4.429591,1.164580
1779877201.128327608,-0.043987,4.429616,1.162296
1779877201.148312807,-0.043976,4.429643,1.160202
1779877201.168285131,-0.056829,4.433196,1.179653
1779877201.188460588,-0.056815,4.433231,1.177751
1779877201.208424807,-0.056800,4.433269,1.176021
1779877201.228427887,-0.056783,4.433311,1.174391
1779877201.248413563,-0.056765,4.433357,1.172892
1779877201.268399477,-0.074125,4.438450,1.192259
1779877201.288408279,-0.074104,4.438504,1.190958
1779877201.308358669,-0.074082,4.438561,1.189733
1779877201.328361273,-0.074058,4.438622,1.188574
1779877201.348362207,-0.074033,4.438686,1.187508
1779877201.368327618,-0.077152,4.435044,1.210032
1779877201.388333082,-0.077126,4.435113,1.208922
1779877201.408293724,-0.077100,4.435183,1.207887
1779877201.428270817,-0.077072,4.435256,1.206864
1779877201.448266506,-0.077044,4.435331,1.205889
1779877201.468242645,-0.072243,4.429000,1.210751
1779877201.488417387,-0.072216,4.429072,1.209748
1779877201.508378029,-0.072190,4.429141,1.208760
1779877201.528387785,-0.072164,4.429208,1.207779
1779877201.548345804,-0.072139,4.429274,1.206757
1779877201.568345785,-0.074827,4.430380,1.231250
1779877201.588330984,-0.074807,4.430435,1.230159
1779877201.608304739,-0.074789,4.430485,1.229064
1779877201.628293514,-0.074773,4.430529,1.227827
1779877201.648259163,-0.074758,4.430567,1.226493
