# index filename x y z qw qx qy qz
86 86.pcd 27.4785 0.274968 -0.0197442 0.999903 -0.0033655 -0.0111747 -0.00764716
87 87.pcd 27.9897 0.268646 -0.0179399 0.999902 -0.00319342 -0.0108425 -0.00825281
88 88.pcd 28.5019 0.262467 -0.0155509 0.999893 -0.00287304 -0.0105336 -0.00970554
89 89.pcd 29.033 0.250077 -0.0127203 0.999871 -0.00239535 -0.0118857 -0.0104986
90 90.pcd 29.5588 0.241212 -0.00786709 0.999849 -0.00160593 -0.0128453 -0.0115936
91 91.pcd 30.0769 0.224623 -0.0103736 0.999866 -0.00337897 -0.0100473 -0.0124767
92 92.pcd 30.5901 0.213986 -0.00996058 0.999848 -0.00454017 -0.00897207 -0.0142144
93 93.pcd 31.1055 0.19833 -0.00780232 0.999837 -0.0038025 -0.00944312 -0.0149394
94 94.pcd 31.6173 0.186625 -0.00810901 0.999804 -0.00392435 -0.00974639 -0.0167929
95 95.pcd 32.1301 0.170949 -0.00848224 0.999777 -0.00379019 -0.0102619 -0.018087
96 96.pcd 32.6476 0.152823 -0.00772528 0.999762 -0.0036524 -0.00971507 -0.0192
97 97.pcd 33.1708 0.132792 -0.0073436 0.999741 -0.00386229 -0.00940667 -0.0203596
98 98.pcd 33.6822 0.110587 -0.00673774 0.999723 -0.00428474 -0.00878002 -0.0214128
99 99.pcd 34.1948 0.0899 -0.0078814 0.999688 -0.0041352 -0.00902234 -0.0229314
100 100.pcd 34.7161 0.0521094 -0.0077574 0.99887 -0.00502681 -0.00958349 -0.046283
101 101.pcd 35.2435 0.0036336 -0.00691112 0.998773 -0.00450848 -0.00869307 -0.0485377
102 102.pcd 35.7435 -0.0432759 -0.00716224 0.998705 -0.0044456 -0.00967423 -0.0497556
103 103.pcd 36.2573 -0.082015 -0.00693614 0.99947 -0.00408667 -0.00950681 -0.0308775
104 104.pcd 36.7733 -0.114677 -0.00663819 0.998735 -0.00516628 -0.00879618 -0.04923
105 105.pcd 37.273 -0.160905 -0.00640669 0.998761 -0.00491941 -0.00919645 -0.0486665
106 106.pcd 37.7719 -0.21923 -0.00746993 0.996702 -0.00514796 -0.00894754 -0.0804863
107 107.pcd 38.2776 -0.287105 -0.00328672 0.998358 -0.00537118 -0.00931744 -0.0562565
108 108.pcd 38.7962 -0.338425 -0.00188105 0.999013 -0.00515034 -0.00954921 -0.0430646
109 109.pcd 39.2948 -0.358018 -0.00557188 0.999968 -0.00462151 -0.00572422 0.00306056
110 110.pcd 39.8254 -0.325043 -0.00850189 0.999456 -0.0035231 -0.00539581 0.0323425
111 111.pcd 39.9614 -0.3122 -0.00804043 0.997044 -0.00274502 -0.0052691 0.0765967
112 112.pcd 40.0631 -0.280478 -0.00995284 0.992277 -0.00170198 -0.00386607 0.123971
113 113.pcd 40.2161 -0.242736 -0.0109947 0.985555 -0.00112113 -0.00461565 0.169289
114 114.pcd 40.6997 -0.0314439 -0.0141423 0.981409 -0.000402533 -0.00489237 0.191864
115 115.pcd 41.1763 0.147253 -0.0184673 0.989155 -0.00254772 -0.00350652 0.14681
116 116.pcd 41.3579 0.182344 -0.0199286 0.995037 -0.00338381 -0.00369767 0.0993749
117 117.pcd 41.4869 0.203933 -0.0223024 0.998523 -0.00397391 -0.00366102 0.0540674
118 118.pcd 41.7714 0.226635 -0.0244773 0.999963 -0.00375232 -0.00387637 0.00673984
119 119.pcd 42.2756 0.208759 -0.0255158 0.999886 -0.00311667 -0.00495036 -0.0139403
120 120.pcd 42.7833 0.205652 -0.0268357 0.999974 -0.00260083 -0.005227 -0.00415851
121 121.pcd 43.3089 0.202917 -0.0297039 0.999981 -0.00181413 -0.00521553 -0.00276973
122 122.pcd 43.8141 0.205761 -0.0311578 0.999981 -0.000682893 -0.00530538 -0.00314099
123 123.pcd 44.3275 0.203818 -0.0333874 0.999976 -0.000831804 -0.0052138 -0.0044423
124 124.pcd 44.8409 0.201795 -0.0367452 0.999973 -0.00140609 -0.00479948 -0.00540316
125 125.pcd 45.3566 0.198708 -0.0385656 0.999966 -0.00170515 -0.00475429 -0.00650862
126 126.pcd 45.8608 0.21577 -0.0385033 0.999243 -0.00107936 -0.00722911 0.0381972
127 127.pcd 46.3649 0.259237 -0.0376468 0.999338 -0.000828424 -0.00846578 0.0353678
